SampleID	SS_error	RA	Level	Time	Site
115	0.263241435	-1.283810325	L1	Day0	HL
116	0.301029996	-1.464584049	L1	Day0	HL
117	0.602059991	-1.427384363	L1	Day0	HL
118	0.06694679	-1.390136305	L1	Day0	HL
119	0.477121256	-1.337005216	L1	Day0	HL
120	0.221848752	-1.255636084	L1	Day0	HL
121	0.033760735	0.417157722	L1	Day0	HL
122	2.08E-09	-1.359974819	L1	Day0	HL
123	0.176091261	-1.462822204	L1	Day0	HL
124	0.138302699	-1.15568143	L1	Day0	HL
125	0.17609126	-1.399153124	L1	Day0	HL
126	0.522878746	-1.249137791	L1	Day0	HL
127	0.39794001	-1.300424708	L1	Day0	HL
128	0.698970004	-1.440545809	L1	Day0	HL
129	0.052936075	0.141867229	L1	Day0	HL
130	0.778151252	-1.353092037	L1	Day0	HL
131	0.301029996	-1.643331553	L1	Day0	HL
132	0.221848751	-1.25021411	L1	Day0	HL
133	0.255272505	-1.286145247	L1	Day0	HL
134	0.041392685	0.496933506	L1	Day0	HL
135	0.477121255	-1.374076528	L1	Day0	HL
136	0.221848752	-1.170673795	L1	Day0	HL
137	0.113943354	-1.282647554	L1	Day0	HL
138	0.146128036	-1.362758768	L1	Day0	HL
139	0.176091259	-1.868747423	L1	Day0	HL
140	0.079181248	-1.558853967	L1	Day0	HL
141	0.602059994	-1.325319458	L1	Day0	HL
142	1.30E-09	-1.287317432	L1	Day0	HL
143	0	-1.276879946	L1	Day0	HL
144	0.176091261	-1.567717427	L1	Day0	HL
145	0	-1.333074923	L1	Day0	HL
146	0.477121256	-1.357208603	L1	Day0	HL
147	0.176091259	-1.58367755	L1	Day0	HL
148	0.176091259	-1.486303299	L1	Day0	HL
149	0.301029996	-1.89173133	L1	Day0	HL
150	0.100900496	0.007684703	L1	Day0	HL
151	0.221848751	-1.402200817	L1	Day0	HL
152	0.875061265	-1.403732721	L1	Day0	HL
153	0.124938737	-1.595447769	L1	Day0	HL
154	0.477121255	-1.741575805	L1	Day0	HL
155	0.176091259	-1.531236702	L1	Day0	HL
156	0.301029996	-1.635411069	L1	Day0	HL
157	0.154901961	-1.447279191	L1	Day0	HL
158	0.243038049	-1.503336639	L1	Day0	HL
159	0.301029997	-1.357208603	L1	Day0	HL
160	0.045757489	-1.427384363	L1	Day0	HL
161	1.73E-09	-1.38569714	L1	Day0	HL
162	0.301029995	-1.04127156	L1	Day0	HL
163	0.230448922	-1.055489797	L1	Day0	HL
164	0.041392686	-1.142028613	L1	Day0	HL
165	0.10914447	-1.045959441	L1	Day0	HL
166	0.301029996	-1.731667516	L1	Day0	HL
167	0.101457641	-0.155421451	L1	Day0	HL
168	0.477121255	-1.685257442	L1	Day0	HL
169	0	-1.776337912	L1	Day0	HL
170	0.09691001	-1.505271139	L1	Day0	HL
171	0.124938737	-1.507214294	L1	Day0	HL
172	0.477121257	-1.640675309	L1	Day0	HL
173	0.096910013	-1.306515894	L1	Day0	HL
174	0.602059991	-1.810196179	L1	Day0	HL
175	0.301029998	-1.646004142	L1	Day0	HL
176	0.273001272	-1.186202275	L1	Day0	HL
177	0.22184875	-1.239569105	L1	Day0	HL
178	0.301029996	-1.440545809	L1	Day0	HL
179	0.544068046	-1.200380722	L1	Day0	HL
180	0.022276395	-0.451198688	L1	Day0	HL
181	0	-1.416186463	L1	Day0	HL
182	0.477121255	-1.61999071	L1	Day0	HL
183	1.73E-09	-1.4789422	L1	Day0	HL
184	0.124938737	-1.375512213	L1	Day0	HL
185	0.477121255	-1.667998436	L1	Day0	HL
186	0.110698298	-0.536621441	L1	Day0	HL
187	0	-1.855519157	L1	Day0	HL
188	1.221848791	-1.646004143	L1	Day0	HL
189	0	-1.855519158	L1	Day0	HL
190	0.301029996	-1.71564007	L1	Day0	HL
191	0.301029996	-1.635411069	L1	Day0	HL
192	0.124938737	-1.184346314	L1	Day0	HL
193	0.057991949	-0.885172279	L1	Day0	HL
194	0.301029996	-1.541651937	L1	Day0	HL
195	0.154901961	-1.193706471	L1	Day0	HL
196	0.037788561	-1.185273303	L1	Day0	HL
197	0.084320886	-1.012286378	L1	Day0	HL
198	0.367976787	-1.58367755	L1	Day0	HL
199	0.477121255	-1.802440714	L1	Day0	HL
200	0.079181244	-1.597840582	L1	Day0	HL
201	0.176091259	-1.762097471	L1	Day0	HL
202	0.397940009	-1.537455822	L1	Day0	HL
203	0.243038048	-1.452398636	L1	Day0	HL
204	0.011770219	0.090589075	L1	Day0	HL
205	0.210853368	-1.08836329	L1	Day0	HL
206	0.698970006	-1.755148612	L1	Day0	HL
207	0.698970004	-1.261126606	L1	Day0	HL
208	0	-1.830213292	L1	Day0	HL
209	0.602059991	-1.67654221	L1	Day0	HL
210	0	-1.89173133	L1	Day0	HL
211	0.544068046	-1.533299862	L1	Day0	HL
212	0.243038049	-1.316443058	L1	Day0	HL
213	0.124938733	-1.58367755	L1	Day0	HL
214	5.90E-11	0.046320436	L1	Day0	HL
215	0.301029996	-1.57448579	L1	Day0	HL
216	0.146128039	-1.375512214	L1	Day0	HL
217	0.698970006	-1.806301134	L1	Day0	HL
218	0.301029996	-1.82613538	L1	Day0	HL
219	0.176091259	-1.70018312	L1	Day0	HL
220	0.301029998	-1.765614045	L1	Day0	HL
221	1.522878787	-1.810196178	L1	Day0	HL
222	0.124938739	-1.670827726	L1	Day0	HL
223	0.11197376	-0.760698775	L1	Day0	HL
224	0	-1.625070236	L1	Day0	HL
225	0.079181246	-1.554489161	L1	Day0	HL
226	0.544068044	-1.662394559	L1	Day0	HL
227	0	-1.706300045	L1	Day0	HL
228	1.522878787	-1.834329859	L1	Day0	HL
229	0.477121255	-1.558853967	L1	Day0	HL
230	0	-0.826135378	L1	Day0	HL
231	2.08E-09	-1.464584049	L1	Day0	HL
232	0.05958569	-0.657962943	L1	Day0	HL
233	0.602059994	-1.758609144	L1	Day0	HL
234	0.176091259	-1.53537287	L1	Day0	HL
235	0	-1.519059423	L1	Day0	HL
236	0.204119984	-1.527139554	L1	Day0	HL
237	0.263241434	-1.365560677	L1	Day0	HL
238	0.023408756	1.243923214	L1	Day0	HL
239	0.176091259	-1.974705565	L1	Day0	HL
240	0	-1.738247862	L1	Day0	HL
241	0.397940011	-1.358589508	L1	Day0	HL
242	0.477121255	-1.901276648	L1	Day0	HL
243	1.522878787	-1.787333296	L1	Day0	HL
244	0.301029996	-1.744929447	L1	Day0	HL
245	0.301029996	-1.741575805	L1	Day0	HL
246	0.049485363	-0.411318167	L1	Day0	HL
247	0.124938737	-1.556666081	L1	Day0	HL
248	0.010995384	-0.56726993	L1	Day0	HL
249	0.221848752	-1.490031172	L1	Day0	HL
250	0	-1.725185388	L1	Day0	HL
251	0.204119984	-1.080272896	L1	Day0	HL
252	0.301029996	-1.998186661	L1	Day0	HL
253	0	-1.947034139	L1	Day0	HL
254	4.32E-10	-0.442722727	L1	Day0	HL
255	0.124938737	-1.635411069	L1	Day0	HL
256	0.176091259	-1.721980248	L1	Day0	HL
257	0.301029996	-1.482607154	L1	Day0	HL
258	0.066946789	-1.688201822	L1	Day0	HL
259	0.367976787	-1.71564007	L1	Day0	HL
260	0.301029996	-1.712504357	L1	Day0	HL
261	1.221848791	-1.822095402	L1	Day0	HL
262	0.477121255	-1.963424555	L1	Day0	HL
263	0.124938737	-1.794821317	L1	Day0	HL
264	0.176091263	-1.772733786	L1	Day0	HL
265	0.477121255	-1.537455822	L1	Day0	HL
266	0	-1.554489162	L1	Day0	HL
267	0.131278914	-0.493225218	L1	Day0	HL
268	0.176091259	-1.670827727	L1	Day0	HL
269	0.093421685	-0.81968933	L1	Day0	HL
270	0.544068046	-1.738247862	L1	Day0	HL
271	0.038707703	-0.054389968	L1	Day0	HL
272	0.602059991	-1.505271139	L1	Day0	HL
273	0.301029996	-1.191818231	L1	Day0	HL
274	0.301029996	-1.78363715	L1	Day0	HL
275	0.77815125	-1.617473054	L1	Day0	HL
276	0.301029996	-1.936441065	L1	Day0	HL
277	0.096910013	-1.709391122	L1	Day0	HL
278	0.023737847	-0.13685142	L1	Day0	HL
279	0.477121255	-1.846918985	L1	Day0	HL
280	0	-1.432273282	L1	Day0	HL
281	0.096910014	-1.205211633	L1	Day0	HL
282	0.477121255	-1.846918986	L1	Day0	HL
283	0.176091259	-1.772733787	L1	Day0	HL
284	0	-1.741575804	L1	Day0	HL
285	1.698970046	-1.873247925	L1	Day0	HL
286	0.073428917	-0.613723724	L1	Day0	HL
287	0.176091259	-1.806301135	L1	Day0	HL
288	0.602059991	-1.78363715	L1	Day0	HL
289	0.176091259	-1.65686207	L1	Day0	HL
290	0.025062404	-0.051516101	L1	Day0	HL
291	0	-1.980457894	L1	Day0	HL
292	0.301029996	-1.798614306	L1	Day0	HL
293	0.096910013	-0.465821607	L1	Day0	HL
294	0	-1.980457894	L1	Day0	HL
295	0	-1.703230812	L1	Day0	HL
296	2.59E-09	-1.567717426	L1	Day0	HL
297	0	-1.806301135	L1	Day0	HL
298	0.040836254	-0.019511697	L1	Day0	HL
299	0.090661064	-0.322382867	L1	Day0	HL
300	0.301029996	-1.873247924	L1	Day0	HL
301	0.477121255	-1.576765556	L1	Day0	HL
302	1.920818798	-1.662394559	L1	Day0	HL
303	0.09691001	-1.586006213	L1	Day0	HL
304	0.477121255	-1.868747423	L1	Day0	HL
305	0.04742465	-0.8401594	L1	Day0	HL
306	0.124938737	-1.529183296	L1	Day0	HL
307	0	-1.765614045	L1	Day0	HL
308	0	-1.665187458	L1	Day0	HL
309	0	-1.744929447	L1	Day0	HL
310	2.08E-09	-1.515075042	L1	Day0	HL
311	0.602059991	-1.706300045	L1	Day0	HL
312	0.636822099	-1.276879947	L1	Day0	HL
313	0	-1.896477765	L1	Day0	HL
