SampleID	SS_error	RA	Level	Time	Site
114	0.071355909	-0.881780465	L1	Day0	HL
115	0.133538908	-0.883260175	L1	Day0	HL
116	0.023481096	-0.883260175	L1	Day0	HL
117	0.014240439	-0.890735307	L1	Day0	HL
118	0.076388346	-0.890735307	L1	Day0	HL
119	8.88E-16	-0.893761762	L1	Day0	HL
120	0.062147907	-0.89834136	L1	Day0	HL
121	0.091080469	-0.904523592	L1	Day0	HL
122	0.063051746	-0.906082999	L1	Day0	HL
123	0.037788561	-0.909218713	L1	Day0	HL
124	0.140178703	-0.923616534	L1	Day0	HL
125	0.079181246	-0.933487288	L1	Day0	HL
126	0.029963223	-0.933487288	L1	Day0	HL
127	0.037788561	-0.933487288	L1	Day0	HL
128	0.111150452	-0.94188783	L1	Day0	HL
129	0.196294645	-0.943587615	L1	Day0	HL
130	0.109144469	-0.943587615	L1	Day0	HL
131	0.120573931	-0.945294079	L1	Day0	HL
132	0.265314443	-0.952187787	L1	Day0	HL
133	0.014723257	-0.955676114	L1	Day0	HL
134	0.071355909	-0.957430842	L1	Day0	HL
135	0.10720997	-0.957430842	L1	Day0	HL
136	0.189056236	-0.959192688	L1	Day0	HL
137	0.04742465	-0.971729894	L1	Day0	HL
138	0.073786214	-0.971729894	L1	Day0	HL
139	0.176091259	-0.975379449	L1	Day0	HL
140	0.130333768	-0.977215792	L1	Day0	HL
141	0.054357662	-0.977215792	L1	Day0	HL
142	0.301029996	-0.979059933	L1	Day0	HL
143	0.06694679	-0.979059933	L1	Day0	HL
144	0.082186756	-0.979059933	L1	Day0	HL
145	0.134698574	-0.980911938	L1	Day0	HL
146	0.21670911	-0.980911938	L1	Day0	HL
147	0.140178703	-0.980911938	L1	Day0	HL
148	0.057991947	-0.980911938	L1	Day0	HL
149	0.230448921	-0.982771874	L1	Day0	HL
150	0.085430195	-0.98463981	L1	Day0	HL
151	0.079181246	-0.98463981	L1	Day0	HL
152	0.069080919	-0.986515815	L1	Day0	HL
153	0.082974235	-0.986515815	L1	Day0	HL
154	0.014723257	-0.986515815	L1	Day0	HL
155	0.096910013	-0.988399959	L1	Day0	HL
156	0.051152522	-0.990292313	L1	Day0	HL
157	0	-0.990292313	L1	Day0	HL
158	0.019305155	-0.994101938	L1	Day0	HL
159	0.06069784	-0.994101938	L1	Day0	HL
160	0	-0.997945277	L1	Day0	HL
161	0.029963223	-0.999879777	L1	Day0	HL
162	0.079181246	-1.005735522	L1	Day0	HL
163	0.071355909	-1.00968368	L1	Day0	HL
164	0.032184683	-1.00968368	L1	Day0	HL
165	0.159700843	-1.011671302	L1	Day0	HL
166	0.143422142	-1.011671302	L1	Day0	HL
167	0.159700843	-1.013668061	L1	Day0	HL
168	0.176091259	-1.015674044	L1	Day0	HL
169	0.039508541	-1.015674044	L1	Day0	HL
170	0.161368002	-1.017689335	L1	Day0	HL
171	0.230448921	-1.017689335	L1	Day0	HL
172	0.096910013	-1.019714022	L1	Day0	HL
173	0.191885526	-1.019714022	L1	Day0	HL
174	0.069080919	-1.021748192	L1	Day0	HL
175	0.055517328	-1.021748192	L1	Day0	HL
176	0.037788561	-1.0279085	L1	Day0	HL
177	0.176091259	-1.0279085	L1	Day0	HL
178	0.301029996	-1.0279085	L1	Day0	HL
179	0.204119983	-1.029981509	L1	Day0	HL
180	0.053245512	-1.029981509	L1	Day0	HL
181	0	-1.03415745	L1	Day0	HL
182	0.024823584	-1.036260575	L1	Day0	HL
183	0.21670911	-1.036260575	L1	Day0	HL
184	0.251811973	-1.036260575	L1	Day0	HL
185	0.079181246	-1.036260575	L1	Day0	HL
186	0.142667504	-1.038373934	L1	Day0	HL
