Otu	HL1CKP1	HL1CKP2	HL1CKP3	HL1CKU1	HL1CKU2	HL1CKU3	HL1SP1	HL1SP2	HL1SP3	HL1SU1	HL1SU2	HL1SU3	HL2CKP1	HL2CKP2	HL2CKP3	HL2CKU1	HL2CKU2	HL2CKU3	HL2SP1	HL2SP2	HL2SP3	HL2SU1	HL2SU2	HL2SU3	HL3CKP1	HL3CKP2	HL3CKP3	HL3CKU1	HL3CKU2	HL3CKU3	HL3SP1	HL3SP2	HL3SP3	HL3SU1	HL3SU2	HL3SU3	SY1CKP1	SY1CKP2	SY1CKP3	SY1CKU1	SY1CKU2	SY1CKU3	SY1SP1	SY1SP2	SY1SP3	SY1SU1	SY1SU2	SY1SU3	SY2CKP1	SY2CKP2	SY2CKP3	SY2CKU1	SY2CKU2	SY2CKU3	SY2SP1	SY2SP2	SY2SP3	SY2SU1	SY2SU2	SY2SU3	SY3CKP1	SY3CKP2	SY3CKP3	SY3CKU1	SY3CKU2	SY3CKU3	SY3SP1	SY3SP2	SY3SP3	SY3SU1	SY3SU2	SY3SU3
Otu2501	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 9	18	74	 1	 2	 0	 7	23	81	 0	11	 0	 7	22	81	 2	 7	 0	13	22	43	 3	 1	 3	 0	11	22	 1	14	 0	 0	15	36
Otu2502	 46	 28	 59	  2	  0	  1	 45	 20	 45	  5	  0	  0	147	 33	  2	  4	  2	  0	 69	 23	  4	  1	  0	  2	 54	  1	 13	  1	  0	  1	 33	  0	 12	  0	  0	  0	  6	  5	  2	  1	  6	  3	  2	  1	 14	  0	  4	 11	  2	  2	  2	  0	  2	  2	  3	  9	  4	  1	  0	  6	  3	  2	  0	  0	  0	  2	  1	  3	  3	  2	  0	  0
Otu2503	 7	11	39	 1	 0	 0	 5	 6	19	 0	 0	 0	37	19	 2	 0	 0	 0	19	 7	 3	 0	 0	 0	15	 4	17	 0	 0	 0	10	 0	 7	 0	 0	 0	 1	16	 1	 0	 0	 0	 0	 3	 1	 0	 0	 0	 0	 4	 1	 0	 0	 0	 1	 5	 3	 0	 0	 0	 0	 5	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0
Otu2504	 8	 9	27	 4	 0	 0	13	 8	13	 4	 0	 0	26	15	 1	 4	 2	 3	18	 6	 2	 1	 0	 2	17	 0	 4	 1	 1	 0	 8	 0	12	 3	 1	 0	 1	 3	 0	 0	 0	 0	 2	 3	 0	 0	 0	 0	 3	 5	 1	 0	 0	 1	 0	 3	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0
Otu2505	29	24	41	 3	 0	 5	10	15	31	11	 1	 5	60	41	 2	 7	 2	 6	28	17	 5	 2	 1	 4	33	 1	12	 1	 2	 1	15	 0	12	 0	 1	 2	42	51	10	 2	 0	 5	 7	10	 3	 0	 0	 2	 7	26	26	 2	 7	 9	 5	10	 5	 0	 0	 2	 2	 6	 4	 1	 2	 5	 1	 3	 3	 0	 0	 1
Otu2507	 5	10	18	 2	 0	 0	 5	11	 5	 2	 0	 0	20	11	 2	 0	 0	 0	 5	 5	 3	 0	 0	 1	10	 2	 2	 0	 0	 0	 3	 1	 4	 0	 0	 0	 0	 1	 0	 0	 0	 0	 2	 0	 0	 1	 0	 1	 1	 0	 1	 1	 3	 0	 0	 0	 1	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0
Otu2508	11	 1	20	 0	 0	 0	12	 2	16	 2	 0	 0	33	 5	 5	 2	 0	 0	15	 1	 3	 0	 0	 0	29	 0	 9	 0	 0	 0	 8	 1	 3	 0	 0	 0	 0	 1	 1	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu2509	 53	 27	120	  1	  0	  0	 55	 11	 55	  3	  0	  0	157	 19	  7	  1	  0	  0	114	 11	  6	  0	  0	  0	 92	  3	 22	  1	  1	  0	 65	  1	 23	  0	  0	  0	 17	 15	 20	  0	  0	  2	  4	  4	  8	  0	  0	  0	 12	 13	 12	  0	  2	  1	  6	  6	 10	  0	  0	  0	 10	  1	  4	  0	  1	  0	  6	  4	  7	  0	  0	  0
Otu251	121	468	744	104	  0	  0	131	422	568	127	  0	  0	581	791	108	105	  0	  5	488	778	 99	 42	  1	  2	316	 57	328	 28	  0	  0	190	 46	484	 36	  0	  1	 11	 35	 13	  0	 19	  1	  1	 38	  8	  2	 16	  4	  3	 28	 10	 10	 12	 16	  4	 40	  4	  4	  4	  8	  5	  8	  0	  0	  4	  2	  1	 36	  1	  0	  6	  5
Otu2510	 9	12	49	 1	 0	 0	 4	 3	44	 2	 0	 0	35	10	 9	 0	 0	 0	15	 4	 8	 3	 0	 0	12	 0	17	 0	 0	 0	 7	 0	25	 0	 0	 0	 0	 1	 1	 0	 1	 0	 0	 0	 1	 0	 4	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 1	 0
Otu2511	 1	16	10	16	 0	 0	 1	15	10	18	 0	 1	 1	18	 0	18	 5	 0	 4	 9	 2	12	 3	 1	 2	 5	 6	 3	 8	 0	 1	 1	 4	 5	 2	 0	 1	 0	 0	29	 1	 2	 1	 1	 0	 5	 1	 0	 1	 0	 1	31	 0	 1	 0	 0	 0	 6	 0	 0	 0	 0	 1	 2	 0	 0	 0	 0	 0	 1	 0	 1
Otu2512	 0	23	 3	38	 0	14	 1	11	 2	41	 3	 6	 7	13	 2	40	 4	29	 2	14	 2	19	 3	15	 2	 0	 1	13	21	11	 2	 2	 6	10	 8	 8	 0	 0	 3	 0	 2	 1	 1	 1	 0	 1	 4	 4	 0	 0	 1	 2	 1	 1	 1	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0
Otu2513	 0	 9	12	 0	 0	 0	 0	16	 9	 0	 0	 0	 7	13	 0	 1	 1	 0	 8	28	 1	 0	 0	 0	 7	 1	 2	 0	 1	 0	21	 4	24	 0	 0	 0	 0	 1	 0	 0	 4	 0	 1	 0	 0	 1	 2	 0	 0	 0	 1	 0	 2	 0	 0	 2	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu2514	23	 6	78	 1	 0	 0	16	 3	45	 0	 0	 0	82	28	 8	 0	 0	 0	22	 6	 1	 0	 0	 0	25	 0	12	 0	 0	 0	16	 2	25	 1	 0	 0	10	20	15	 0	 1	 0	 5	 5	 6	 0	 0	 0	 7	22	 2	 2	 0	 1	 1	 3	 0	 0	 0	 0	 2	14	 0	 0	 1	 0	 1	 4	 0	 0	 0	 1
Otu2515	 7	32	57	 1	 0	 0	 4	10	19	 2	 0	 2	18	43	 8	 1	 0	 0	10	18	 1	 0	 0	 0	 8	 2	 9	 1	 1	 0	 6	 0	 6	 0	 0	 0	15	18	20	 0	 1	 0	 1	 8	17	 0	 1	 1	 7	22	25	 0	 0	 0	 7	10	 7	 1	 0	 0	 4	 3	10	 0	 0	 2	 3	 3	 6	 0	 0	 0
Otu2516	 0	 4	17	 7	 0	 1	 0	 1	 8	 8	 0	 0	11	 5	 4	12	 0	 3	 2	 3	 1	 4	 1	 1	 9	 0	 8	 3	 1	 0	 5	 0	 4	 2	 0	 0	32	24	27	 2	10	 7	 5	11	 9	 0	 3	 4	35	50	32	 2	10	 1	 8	 8	 5	 2	 3	 3	11	15	 6	 0	 5	 3	 6	12	 2	 0	 1	 1
Otu2517	 3	 5	30	 5	 0	 0	 7	44	 7	 5	 0	 0	 7	 3	 0	 5	 1	 0	62	37	 1	 0	 1	 0	 6	 0	 5	 0	 0	 0	16	 2	14	 3	 0	 0	 0	 4	 2	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0
Otu2518	 7	 4	35	 2	 0	 0	10	 5	27	 0	 0	 0	40	 6	 0	 0	 0	 0	23	 3	 1	 0	 0	 0	34	 1	 7	 0	 0	 0	14	 0	12	 0	 0	 0	 1	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0
Otu2519	  0	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  3	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  2	  0	  2	  2	  1	  0	  0	  0	  0	  0	  0	162	  2	  0	  0	  1	  0	  0	  0	  2	  0	  0	  0	107	  0	  0	  0	 44	  0	 10	  0	  0	  0	  1
Otu252	 26	133	198	351	 13	292	 11	101	126	395	  6	212	 89	131	 21	367	 34	723	 49	 84	 20	154	 36	554	 55	 21	 87	 96	122	248	 27	  8	 89	138	 88	261	 11	 21	  6	 27	 20	 30	  4	  8	  4	 12	  5	 15	  6	 11	  7	 22	 10	 41	  3	  7	  6	 12	  1	 10	  3	  8	  0	  2	  7	  4	  1	  6	  2	  1	  6	  5
