# Constructed from biom file																																				
#OTU ID	HL1HFP1	HL1HFP2	HL1HFP3	HL1HFU1	HL1HFU2	HL1HFU3	HL2HFP1	HL2HFP2	HL2HFP3	HL2HFU1	HL2HFU2	HL2HFU3	HL3HFP1	HL3HFP2	HL3HFP3	HL3HFU1	HL3HFU2	HL3HFU3	SY1HFP1	SY1HFP2	SY1HFP3	SY1HFU1	SY1HFU2	SY1HFU3	SY2HFP1	SY2HFP2	SY2HFP3	SY2HFU1	SY2HFU2	SY2HFU3	SY3HFP1	SY3HFP2	SY3HFP3	SY3HFU1	SY3HFU2	SY3HFU3
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__unclassified_Ascomycota	0	0	0	5.52E-06	0.000272822	3.38E-05	0	0	0	0	0	1.32E-05	0	0	0	0	0	0	9.38E-05	0	0	0	0	0	0	0.000180862	0	0	0	0	0	0	0	0	0	2.86E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	0	5.63E-05	0.000913603	0	0	0	0	0	0	0	0	2.63E-06	2.92E-05	0	0	0	2.18E-05	0	5.86E-06	0	0	0.000284721	0	7.47E-05	0	0	0	0.000218996	0	1.33E-05	0	0	0	0.000572738	1.94E-05	2.86E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Microdiplodia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriales_family_Incertae_sedis;g__Camarosporium	0	0	0.000110183	0	0	0	0	0	0	0	0	5.26E-06	0	0	0	0	0	0	5.86E-06	1.83E-05	0	0.000371	4.82E-05	4.39E-06	0	0	0	2.19E-05	0	0	0	0	0	0	0	2.86E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;f__Davidiellaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.93E-06	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	0.001369628	0.000146378	0.000982467	0.000651588	0.00114585	0.00032116	0.000861059	0.000631208	0.002638522	2.47E-05	0.000684417	0.000139396	0.000116998	0.007796471	0.002869532	0.000243348	0.001263562	0.000858246	0.000351844	0.001152812	0.000133938	0.023532609	0.010192353	0.001568976	0.000205608	0.00035386	0.000180786	0.009986203	0.004553516	0.000775937	0.000116128	0.006217617	0.000930233	0.00486827	0.003868134	0.000874461
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Davidiella	0.00013092	0.000106969	0.000229548	8.28E-05	0	8.45E-06	0.000470712	7.15E-05	0.001396865	0	2.21E-05	1.05E-05	0.001740351	0	0	0.000378542	0.000522853	0.000333762	5.86E-05	0	0	0	0	0	5.87E-06	0.000298815	4.52E-05	0	0.000146888	3.33E-06	0.00015186	6.10E-05	0.000199336	0	0.000291568	5.72E-06
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;f__Mycosphaerellaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria	1.01E-05	0	4.13E-05	2.76E-05	5.46E-05	0	0	7.15E-05	0.000620829	0	2.21E-05	5.26E-06	0	0	0	0	0	0	0.000287339	0.001024721	0	0	0	4.39E-06	0	0.00013368	0	0	0	0	8.93E-06	0	0	0	0	1.71E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia	0	0	0	5.52E-06	0	0	1.15E-05	0	0	6.18E-06	0	0	0	0	0.003379671	0	0	4.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
