,Control,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
Otu10,7.857897377,6.140266037,6.907734538,7.934233528,8.260550175,8.663827344,8.761093941,8.657638496,8.423813427
Otu1000,6.327128669,4.879949696,5.565656345,6.577522582,6.662503695,7.396738189,7.323106233,7.111643311,7.145037556
Otu10006,5.372886179,0,4.079699308,5.349139742,5.803655394,0,0,0,0
Otu10018,5.372886179,3.895222003,0,5.026670781,5.536437753,5.956172913,0,0,0
Otu1002,6.327128674,4.65457818,5.425614536,6.268058311,6.736891983,7.154440134,7.198606035,7.200627053,6.355792776
Otu100206,5.673916152,3.851748374,4.730254417,0,6.131723075,6.178573646,6.620549838,6.322251648,6.670880913
Otu10023,0,0,4.657292472,0,5.490518845,5.956172913,6.006089386,0,6.347406139
Otu10024,5.548977408,3.971699128,4.036771108,5.507585024,5.400342215,6.22234109,6.002402206,6.020247546,0
Otu1003,7.067491363,5.300390724,6.060239587,7.060355688,7.421539077,7.843319492,7.916991836,7.842541666,7.77851001
Otu10036,5.770826188,3.916293078,4.943867071,6.067091593,6.076272268,6.379808358,6.48321064,6.29885571,6.355792776
Otu100412,5.548977438,3.516184159,0,5.026670781,6.217744639,6.412630967,6.730215167,6.020429755,0
Otu10043,5.372886179,3.421510737,0,5.411477774,5.803655394,6.762614153,5.894308026,5.99203669,0
Otu1005,6.534254166,4.79134921,5.385915338,6.31275513,6.705353759,7.021015138,7.258131614,6.903275534,7.144710707
Otu10055,0,3.676763252,4.160010059,0,5.803655394,5.883404663,6.252739493,6.020429755,0
Otu100563,5.850007419,4.090921585,4.926731848,5.743624353,6.173977544,6.690845653,6.801452353,6.616693478,6.367899516
Otu1006,6.534254166,4.726154838,5.571355342,6.502649014,6.718437522,7.253826564,7.492662601,7.185758775,6.845672212
Otu100613,0,3.294092175,0,5.041910747,5.490518845,0,6.338585362,0,6.65540958
Otu1007,6.247947431,4.476523169,5.148566972,6.312475495,6.672864246,7.286608034,7.344449648,7.123635095,6.355792776
Otu10070,5.548977438,3.720212945,4.812762759,5.950280822,6.05840259,6.699360154,6.345829125,6.30831296,6.653991774
Otu100710,5.548977438,3.258619857,4.218002006,5.692019402,6.213982365,6.964534853,6.853493252,6.30831296,0
Otu100753,5.071856184,3.294092175,4.188038783,5.397988309,6.006337793,6.412630967,6.320004217,6.30831296,0
Otu1008,6.684640025,4.980672112,5.567822134,6.688240212,7.089990309,7.493441615,7.656253766,7.478483608,7.441331338
Otu100829,5.673916175,4.230681762,4.894671169,5.808645422,6.036277659,6.405655825,6.806959563,6.022012108,0
Otu10083,6.113248861,4.477708737,5.125022287,6.20360601,6.624027635,6.861116895,7.095196746,6.596952541,6.656822772
Otu100880,5.548977438,3.933074023,0,5.612283921,5.959062458,5.883404663,0,6.022012108,6.363996021
Otu1009,6.275976155,4.361545703,4.993989953,6.085902622,6.637091804,7.190891328,7.053250104,6.761486587,7.136639476
Otu10091,5.770826188,3.968322742,4.419987859,5.64739754,5.709712827,5.956172913,6.006089386,6.464147091,6.83697898
Otu100935,6.026098683,4.436456175,5.309996363,6.037626369,6.144609221,6.957299247,7.114551307,6.615517325,0
Otu101,7.314894215,5.575931577,6.381728601,7.322067069,7.649035721,8.100647727,8.246022999,8.096440825,7.791947874
Otu1010,6.372886161,4.546404249,5.419652236,6.217787508,6.220245165,7.090415038,7.117495461,7.106404797,6.660943763
Otu10109,5.372886179,3.875109564,4.491003278,5.779735568,6.336734304,0,6.623533392,6.782252379,6.355792776
Otu1011,6.705324624,4.987243925,5.556331529,6.723385079,7.1362035,7.362534342,7.632200984,7.304368382,6.841117276
Otu1012,0,0,0,5.481677721,0,0,6.018974221,0,0
Otu10123,6.275976144,4.36478539,5.237358992,6.08889982,6.257931424,7.014388389,6.923868262,6.794120128,6.367899516
Otu10124,5.071856184,3.947886422,4.64269152,5.041910747,5.536437753,5.871602456,6.371429281,0,0
Otu1013,6.2179842,4.567946965,5.354937246,6.085326655,6.533387242,6.906866226,7.237326613,7.001678771,6.831466525
Otu101380,5.071856184,3.912168555,4.036771108,5.416164271,0,5.956172913,0,0,0
Otu1014,6.469796178,4.631460487,5.484384228,6.346851449,6.917133811,7.286300597,7.216606103,6.995971501,7.208734513
Otu101434,5.548977438,3.59864776,4.519032002,5.67236611,5.991312417,6.231421186,6.002402206,0,0
Otu101456,5.673916175,3.294092175,0,5.802007839,5.94825501,6.67524063,6.531046283,6.615873622,0
Otu1016,6.715308846,4.966746363,5.743477578,6.776580613,7.020353054,7.50717287,7.468725055,7.36857952,7.143737251
Otu101623,5.071856184,0,4.036771108,5.349139742,5.837467749,6.188605478,6.006089386,0,6.835786036
Otu1017,6.247947425,4.679160587,5.286505349,6.109078431,6.467769797,7.129601575,7.189127653,6.709177212,6.960573934
Otu1019,6.433584,4.62302984,5.264437697,6.266784771,6.69463912,7.156179086,7.361708104,7.204787681,6.960333881
Otu101921,5.071856184,3.068562942,4.160010059,5.041910747,5.514403598,5.956172913,6.006089386,0,0
Otu101933,5.071856184,3.568250025,4.455362922,5.041910747,5.458334162,6.49228146,0,6.022012108,0
Otu102,7.334307256,5.57685491,6.430045563,7.363731547,7.737927358,8.18799152,8.287003256,8.07937346,8.01230096
Otu1020,6.414278844,4.632168556,5.55001538,6.708580923,6.899356555,7.272464574,7.504475327,7.186224945,6.960905041
Otu10204,0,0,0,0,5.800169362,0,0,0,0
Otu1021,5.548977438,4.005269607,4.596014284,6.090355753,6.32796837,6.626758492,6.684117252,5.99203669,6.667963331
Otu102177,5.071856184,0,4.218002006,0,5.975748517,5.956172913,6.002402206,0,0
Otu1022,6.302305089,4.710490047,5.31925792,6.495181117,6.965881658,7.120399759,7.428534205,7.153088541,7.061275773
Otu10235,5.071856184,3.568250025,0,0,0,6.225827344,0,6.020247546,0
Otu102391,5.673916175,4.321383418,4.714847822,5.411477774,5.74879686,6.392408135,6.620549838,6.611241306,0
Otu1024,6.327128679,4.55122386,5.174624923,6.310650845,6.477820878,6.918010625,7.202158926,6.695915079,6.363996021
Otu1025,6.350609765,4.66975984,5.454961608,6.530080038,6.747523313,7.290890427,7.26880258,6.952704849,0
Otu1026,6.275976144,4.636098187,5.393361083,6.252727733,6.880310535,7.206481366,6.836791393,7.17537852,6.963452606
Otu102651,5.071856184,3.568250025,4.437802193,5.579512749,5.735247663,5.871602456,6.700256846,6.323042103,6.661524863
Otu1027,6.071856165,4.555135005,5.321268981,6.095166494,6.586696779,7.162479226,7.001818143,7.110658268,6.967258078
Otu10272,5.071856184,3.258619857,0,0,0,0,0,0,0
Otu102723,5.071856184,3.258619857,4.763477814,5.766793396,6.300133087,6.213046492,6.526268354,6.950613562,6.66698215
Otu1028,0,0,0,0,0,0,6.003452495,0,0
Otu102808,5.770826188,3.166849484,4.803628592,5.210315178,5.815433593,6.501045432,6.559517534,6.596952541,6.347406139
Otu1029,6.850007417,5.025240244,5.878065557,6.693004822,7.293414114,7.517249221,7.72084786,7.483366125,7.317750373
Otu102905,5.77082617,4.019846549,4.894695616,5.834579866,5.945759052,6.70482123,6.253329969,6.720313507,0
Otu102977,6.071856165,4.143149365,5.096515098,6.159850915,6.484370295,6.670772304,7.052405447,6.915409911,6.959345691
Otu103,5.071856184,3.751248176,4.709856625,5.411477774,5.490518845,6.239908653,6.006089386,6.498079102,6.363996021
Otu103072,7.016338839,5.204761665,5.97764528,6.983613576,7.376019346,7.876934534,7.865618743,7.697547929,7.682409259
Otu10309,5.071856184,3.708218945,4.666450661,5.20276204,5.928439198,6.367150175,6.006089386,6.609673518,0
Otu1031,6.151037415,4.317547854,4.719331036,5.890183919,6.383190239,6.701248288,6.303957664,6.900342528,0
Otu103131,5.673916175,3.496835629,4.572321057,5.507645826,5.408682831,6.203569669,6.002402206,0,0
Otu103141,6.185799522,4.369504554,5.153963014,6.231186579,6.502280279,6.878724806,6.902308014,6.780466119,6.662918327
Otu103179,5.071856184,3.068562942,4.739065467,5.026670781,0,6.213046492,6.338100193,6.615517325,0
Otu1032,6.548977423,4.852856627,5.463020657,6.468972797,6.879975352,7.315255722,7.381445921,7.322206512,7.267408789
Otu103223,0,3.294092175,4.504308745,5.041910747,5.752555579,6.386160851,6.018974221,6.020247546,0
Otu10327,6.534254163,4.888769402,5.511307432,6.743948189,6.947237327,7.4343458,7.48941486,7.361792358,6.96206373
Otu1033,6.695105457,4.911413907,5.853289037,6.633458048,7.021925281,7.449625292,7.589425598,7.543768843,7.312613297
Otu10339,6.071856175,4.026204786,4.720677365,6.113487083,6.371610902,6.955402566,7.039511838,6.622398652,0
Otu103416,6.563217863,4.661068107,5.208712339,6.320746759,6.810355692,7.269699904,7.29833782,7.171226845,6.66698215
Otu1035,7.0541274,5.372095876,6.191562835,7.145049849,7.477217936,7.939263713,8.046585243,7.857409157,7.757850926
Otu103532,0,3.79243999,4.021707361,5.511345173,0,0,0,0,0
Otu103566,5.850007419,4.010610974,4.945573706,5.849025694,6.048503284,6.803986633,6.558489665,6.622489746,0
Otu1036,5.850007419,4.088547965,4.380729304,6.064244492,6.097077077,6.71302429,6.99539011,6.585511791,6.667963331
Otu10360,6.185799522,4.49034229,4.891542807,6.261621015,6.433759048,6.910028278,7.205576833,6.915029165,6.832905708
Otu103622,5.372886179,3.46787948,4.188038783,5.20276204,0,6.213046492,6.002402206,5.973980278,0
Otu103637,5.770826188,4.19682413,4.71908691,5.569192716,6.357960197,6.607637924,6.818539721,6.611241306,6.663908723
Otu103680,5.673916175,3.634511187,4.887783622,5.868581105,5.939611376,6.506600184,6.72226445,6.3080634,6.355792776
Otu1037,6.394075457,4.66146637,5.577226872,6.532261582,7.003469403,7.253668242,7.495378911,6.84911885,7.061671822
Otu10372,5.071856184,3.068562942,4.079699308,5.507585024,5.514403598,5.924797348,6.006089386,6.469157945,6.347406139
Otu1038,7.021246174,5.228420849,5.96881246,6.950601832,7.324334412,7.786692341,7.853003991,7.69386966,7.503693443
Otu10383,5.372886179,3.699018305,4.455362922,5.096958314,0,6.62172618,6.305802937,6.022012108,6.846972172
Otu103856,5.071856184,3.753484663,4.218002006,5.20276204,5.705562541,0,6.303432202,0,0
Otu1039,6.486829521,4.675965819,5.568087562,6.127575561,6.916595867,7.27168145,7.459590246,7.334844024,6.965786024
Otu103934,5.071856184,3.79243999,4.330334539,5.20276204,0,0,0,0,0
Otu10397,5.850007419,3.294092175,4.666450661,5.924540055,5.983492023,6.739220554,6.303432202,6.451101532,6.369850917
Otu103974,5.372886179,3.79243999,4.437802193,5.096958314,6.06298664,5.883404663,6.313609581,6.30749521,0
Otu104,7.540203498,5.740868134,6.531807967,7.519488073,7.872209708,8.362056295,8.421569406,8.25201941,7.971735452
Otu1040,6.394075457,4.664847985,5.388529099,6.472768748,6.664892336,7.287659751,7.25330503,7.210449247,7.204876581
Otu104033,5.071856184,3.790395829,4.397370975,5.210315178,6.046373394,0,6.303957664,0,0
Otu10409,5.673916175,4.118008013,5.076459316,5.564722407,6.259863526,6.356627377,6.610494609,6.843503923,0
Otu1041,6.151037407,4.380756561,5.213901033,6.018454768,6.120514738,7.135853587,7.158407166,6.856042138,7.137218749
Otu104164,6.185799522,4.195598518,4.970864938,5.742840416,6.627708868,6.75428248,6.872759055,6.611288041,0
Otu104183,5.548977438,4.252197525,4.975087319,5.821695665,0,6.200043841,6.84602607,6.850047472,0
Otu104197,5.548977438,0,4.777310017,5.041910747,5.803655394,6.373375804,5.894308026,6.323042103,6.367899516
Otu1042,6.35060977,4.568985156,5.152741185,6.175690762,6.539808597,7.087186342,7.210614944,6.964375685,6.663908723
Otu10427,0,0,0,0,5.514403598,0,6.069174194,7.175773726,7.661656917
Otu104299,5.071856184,3.294092175,4.218002006,5.424610789,5.408682831,6.223866643,6.339806228,6.284132313,6.352961779
Otu1043,6.56321786,4.79194585,5.669705685,6.638015276,6.920595165,7.442731763,7.274241988,7.446468678,7.135378255
Otu104329,6.151037415,4.248708213,5.475558669,6.353878631,6.740316927,7.321041611,7.032106654,6.96422965,6.662918327
Otu10445,0,0,4.218002006,0,0,5.883404663,0,0,0
Otu1045,6.433584004,4.558965335,5.463369498,6.150220631,6.621908505,7.205671093,7.310339785,7.150775586,7.212409103
Otu1046,6.275976149,4.596644959,5.578626128,6.508013757,6.789571421,7.342316154,7.398674613,7.108668683,7.059186162
Otu104624,5.850007434,4.251921581,5.135278582,5.985175874,6.316635385,6.870234223,6.924503166,6.609265147,6.369850917
Otu104635,0,0,4.021707361,5.416164271,5.815433593,0,6.006089386,5.993404548,6.347406139
Otu1047,6.753097404,4.865173878,5.728176512,6.78590015,7.072339919,7.526356835,7.536834516,7.496477703,7.060827458
Otu104746,5.372886179,3.687656273,4.188038783,5.364264937,5.752555579,0,0,0,6.367899516
Otu1048,6.394075465,4.584129537,5.167302847,6.420985862,6.637920105,7.030138091,7.167225227,6.851498333,7.142116306
Otu104800,0,3.568250025,4.554499197,0,5.536437753,0,6.480756002,6.020429755,6.369850917
Otu1049,0,0,0,0,5.400342215,0,6.018974221,0,0
Otu104972,5.071856184,3.516184159,4.905233607,5.210315178,5.880261511,5.920867055,6.715980086,6.615563602,0
Otu105,7.563217861,5.839754179,6.580928781,7.511785098,7.895904212,8.366848257,8.513948882,8.299070999,8.206096545
Otu10502,5.372886179,0,4.036771108,5.041910747,0,0,0,0,0
Otu10506,0,0,0,0,0,0,6.006089386,0,0
Otu105092,5.372886179,3.536144311,4.556820563,0,0,6.231421186,6.602803728,6.020247546,0
Otu1051,6.590370107,4.846412261,5.59969369,6.786507564,7.073662889,7.48746662,7.594731333,7.483766501,7.058689494
Otu105126,5.071856184,3.536144311,4.036771108,0,5.400342215,5.924797348,6.481985055,6.482550263,0
Otu105133,0,0,0,0,5.458334162,0,0,0,6.367899516
Otu1052,6.651639764,4.79110598,5.761843278,6.66324546,6.923823958,7.559355559,7.629044804,7.49016714,7.404909893
Otu105224,5.548977438,0,4.491003278,5.349139742,5.70137221,5.920867055,6.471614044,6.482487401,6.369850917
Otu10526,0,0,0,0,0,5.883404663,0,0,0
Otu105300,6.61592421,4.910601723,5.703025891,6.752271412,7.164997358,7.425200691,7.560377542,7.307607013,7.40335145
Otu10538,5.850007419,4.516124026,5.254417035,5.968908232,6.569719325,7.041293111,6.92484539,7.045406582,6.960905041
Otu1054,6.469796174,4.737716954,5.393828686,6.441974393,6.742338646,7.0480832,7.391721966,6.906088643,6.962264406
Otu10556,0,0,0,0,0,0,0,5.973980278,0
Otu1056,6.394075461,4.69684793,5.181657283,6.253342619,6.764487992,7.387925492,7.442024693,7.087197702,7.135599676
Otu105618,5.071856184,0,4.538337157,0,5.837467749,6.257202908,6.546295449,0,0
Otu105649,5.372886179,3.59864776,4.455362922,5.628400636,5.74879686,6.398284386,6.002402206,6.022012108,0
Otu1057,6.827731025,5.056352681,5.773659446,6.841385415,7.163330456,7.716526094,7.763229538,7.485349788,7.537783932
Otu1058,6.35060977,4.603240155,5.21410222,6.252178509,6.482523238,6.915786047,7.342941755,6.474036413,6.660943763
Otu105804,5.548977438,3.779114819,4.616468114,5.695358331,6.089333096,6.231421186,5.894308026,6.321459751,0
Otu105817,5.916954224,3.944879073,4.322737357,5.503792035,6.125036188,6.521505328,6.530198347,6.69421242,6.367899516
Otu10584,6.185799515,4.141644098,5.15963167,6.057599417,6.572396909,6.801050384,7.182830767,7.115540599,7.05987844
Otu10593,5.372886179,3.294092175,4.708088238,5.429158417,6.192957618,6.377461789,6.783359746,6.59443905,0
Otu105961,5.770826188,4.097203405,4.5833832,5.498145297,0,6.678985147,6.716289344,6.020247546,6.83697898
Otu106,7.312405415,5.580695363,6.373887176,7.368713563,7.684201881,8.136273319,8.231134649,8.013624293,7.890314844
Otu1060,6.695105459,5.005563114,5.747014891,6.762374891,7.158853384,7.533781081,7.513290926,7.276502495,6.961404003
Otu10600,5.372886179,3.294092175,4.160010059,0,5.490518845,0,0,0,0
Otu10604,5.372886179,4.12271594,4.701577863,5.678681242,5.803655394,6.22189705,6.339806228,6.48876889,0
Otu1061,5.071856184,0,0,0,0,0,5.894308026,0,0
Otu106124,5.372886179,3.707252574,4.359795397,5.511345173,5.536437753,6.369893143,0,5.99203669,6.670880913
Otu10619,5.548977438,0,4.218002006,5.096958314,0,6.257202908,6.006089386,0,0
Otu1062,6.071856175,4.657539211,5.27441425,6.44606282,6.66667517,7.05125313,7.347027356,7.080112421,7.141351207
Otu106235,5.372886179,3.99440444,5.230827957,5.95099884,6.19264007,6.676453597,6.994743867,6.608762391,0
Otu106266,5.974946171,4.468625839,4.928913914,6.136102609,6.308096751,6.694734285,7.012041552,6.774840565,6.661524863
Otu106292,5.974946148,4.101663768,4.633354816,5.910550113,5.946450801,6.216972993,6.508242847,6.321368656,6.355792776
Otu1063,6.414278844,4.793511606,5.481858449,6.545195759,6.96883141,7.294798791,7.654567203,7.347385077,7.201103262
Otu106354,5.77082617,3.877634614,4.795963568,5.429158417,5.759364157,6.511353032,6.59974693,6.464147091,6.355792776
Otu1064,5.548977438,3.258619857,0,0,0,0,6.003452495,6.022012108,0
Otu106415,6.113248852,4.505684066,5.163949121,6.261781762,6.637307457,6.936555361,6.852410813,7.043811049,6.662918327
Otu106446,6.071856165,4.36379535,5.17237782,6.03910614,6.172967494,6.919681725,7.03204692,6.695940361,6.347406139
Otu106494,5.071856184,3.397988309,4.188038783,5.411477774,5.752555579,0,0,0,0
Otu10654,6.70532462,4.812394773,5.546463378,6.579864225,6.911159728,7.344601182,7.177288893,6.911198674,7.26428231
Otu10659,5.770826188,4.466014814,4.931657978,6.185345066,6.521268446,6.763182169,6.937915159,7.216904189,6.659803504
Otu10661,5.77082617,4.375349923,5.335137362,6.103200969,6.544184907,6.942869278,6.973719204,6.71964387,6.659803504
Otu106644,5.548977438,3.650169737,0,5.728731862,6.222321855,6.398284386,6.320004217,6.322160719,0
Otu106645,5.673916175,4.349572981,4.731401231,5.783412595,6.337803858,6.507623823,6.554359964,6.479722335,6.66698215
Otu10665,5.548977438,0,4.596014284,5.69290056,5.912246931,5.883404663,6.781694881,6.293751154,0
Otu106684,6.884769525,5.010748504,6.030374019,6.856966502,7.203281196,7.734614347,7.771036134,7.596781471,7.53716849
Otu1067,6.684640025,4.910464283,5.827033989,6.612121304,7.026787705,7.429897881,7.37990648,7.347371988,7.504621707
Otu106771,5.372886179,3.942879047,4.599806991,5.910574155,5.94825501,6.376079853,6.686853406,6.3080634,0
Otu106795,5.673916175,3.516184159,4.188038783,5.575147944,5.88304164,0,6.338585362,6.020247546,0
Otu1068,6.486829514,4.319939141,5.351732985,6.25064784,6.68696788,7.167758909,7.259121245,6.604926814,6.96000855
Otu106842,0,3.294092175,0,0,5.514403598,6.231421186,6.003452495,0,6.355792776
Otu106861,0,3.903882762,4.218002006,0,5.826590396,5.902981813,6.003452495,6.498606552,0
Otu1069,6.452067414,4.684512929,5.487943431,6.633625785,6.883463815,7.195563193,7.353942072,7.050730428,7.205319961
Otu10693,5.974946148,4.298171652,4.742028836,5.812086583,6.090463158,5.883404663,7.040320458,6.30749521,6.66698215
Otu106992,5.850007434,3.720212945,4.676639855,5.771904114,6.236321507,6.36577377,6.305279704,6.605386657,0
Otu107,7.319829433,5.591628741,6.328159271,7.375584952,7.751273457,8.119901455,8.251767711,8.098279559,8.043196676
Otu1070,6.548977423,4.8025527,5.569300241,6.712548072,7.059073684,7.432228685,7.59821219,7.279800484,7.319017506
Otu1071,6.673916154,4.935900945,5.661868546,6.787976546,6.957805385,7.443683016,7.47889553,7.48131319,6.65540958
Otu107125,5.770826188,4.026326209,4.908130936,5.740382712,5.400342215,6.815146692,6.481985055,6.699960793,6.352961779
Otu107181,0,3.650169737,4.578820113,4.99306218,5.956729963,5.920867055,6.934721763,6.623190715,6.355792776
Otu1072,6.603335085,4.734171125,5.594237295,6.619213484,6.783258743,7.413923048,7.513254715,7.284698641,6.832914031
Otu107225,5.372886179,3.741493441,4.160010059,5.665266235,5.909648153,6.194333537,6.905653149,6.307401139,0
Otu107236,5.548977438,3.650169737,4.680019439,5.026670781,5.902993021,6.541151706,6.617205478,6.322251648,6.352961779
Otu1073,6.705324624,4.960321708,5.661532026,6.555510985,6.915479207,7.373707339,7.600242232,7.117169055,7.263258744
Otu107301,0,3.46787948,4.491003278,5.096958314,5.400342215,5.920867055,6.505272893,6.020429755,0
Otu10731,5.372886179,0,0,5.335387605,5.965478971,6.215056542,6.452801933,0,0
Otu107419,5.673916175,4.289275712,4.666174914,5.20276204,5.514403598,6.602443348,6.447724136,6.30831296,6.659543938
Otu107420,5.673916175,0,4.35270058,5.026670781,5.514403598,5.956172913,6.003452495,6.720277148,0
Otu107433,5.071856184,3.595122171,4.438268625,5.565903273,5.490518845,0,6.37020419,0,0
Otu107457,5.071856184,4.028700039,4.438268625,5.561398799,0,5.871602456,0,5.993404548,6.355792776
Otu107478,5.372886179,3.976310454,4.160010059,5.507585024,5.775754573,6.223866643,6.664991753,5.993404548,0
Otu107483,5.071856184,3.568250025,4.561619446,5.71805126,6.070029039,6.693961157,6.313609581,6.483159677,0
Otu10749,5.974946159,4.005922195,4.620347693,5.579512749,6.297922703,6.893627469,6.48667974,6.020429755,0
Otu1075,5.071856184,3.474936118,0,5.026670781,5.408682831,6.203569669,5.894308026,6.022012108,0
Otu10759,5.071856184,3.068562942,0,5.569192716,0,0,5.894308026,0,0
Otu1076,6.372886161,4.541613233,5.484210218,6.457189196,6.882890682,7.278760673,7.420007111,7.364774831,7.400357992
Otu107608,5.372886179,3.912168555,4.728364194,5.768867548,5.912246931,6.216972993,6.003452495,6.616245458,6.352961779
Otu107616,5.372886179,3.294092175,4.504308745,5.026670781,5.514403598,6.38585639,6.37020419,5.993404548,6.363996021
Otu107736,6.247947425,4.583720483,5.163914049,6.314810607,6.599136087,7.151117186,7.074543788,7.018206626,0
Otu1078,6.41427884,4.544339401,5.263087795,6.382582458,6.77470392,7.213894557,7.283127538,6.786429084,6.652649697
Otu107801,5.974946171,4.3284842,4.931508272,5.821695665,6.554405481,6.730890931,6.76398146,6.787222943,0
Otu10781,5.548977438,3.294092175,4.036771108,5.210315178,5.963080333,0,6.018974221,0,0
Otu107817,0,3.294092175,4.757975497,5.570738825,5.791548841,5.956172913,0,6.3080634,6.367899516
Otu1079,0,0,0,0,0,0,0,5.99203669,0
Otu107935,5.372886179,0,4.572321057,5.779735568,5.930928245,6.612951685,6.504439198,6.479827182,6.352961779
Otu108,7.175659888,5.578544209,6.177249434,7.242651268,7.531328821,8.099368117,7.969055274,7.959996885,7.758043363
Otu1080,5.673916175,3.568250025,4.188038783,5.699819833,5.490518845,0,6.195338022,6.479381364,6.662518438
Otu108023,5.850007434,4.310281477,5.006911737,5.942477056,5.97362746,6.915407382,6.929649765,6.601323046,6.670880913
Otu10804,0,0,4.021707361,0,0,0,0,0,0
Otu10809,0,0,0,0,0,5.883404663,0,0,0
Otu1081,6.350609765,4.644963591,5.486929787,6.456054842,6.883976432,7.388331754,7.429613206,7.006152715,6.961410195
Otu108180,6.026098683,3.747890002,5.020220676,6.1765499,6.587099709,6.760090117,6.957143029,6.960831947,6.367899516
Otu1083,6.394075457,4.857856843,5.42756361,6.439983953,6.825671151,7.332953747,7.290445233,7.212416238,7.203814284
Otu108380,5.916954224,3.91818245,4.982053538,5.83375785,5.956499802,6.81114036,6.531046283,6.308157328,0
Otu1084,6.651639764,4.695116998,5.577039794,6.63424646,6.889542328,7.292413362,7.449630318,7.387567246,7.207453525
Otu10845,0,0,0,0,0,5.871602456,6.069174194,0,0
Otu1085,6.394075457,4.626369452,5.091172832,6.264633941,6.460261564,7.208703305,7.097686685,6.90422193,6.659803504
Otu108578,5.071856184,0,4.322737357,4.99306218,0,0,6.006089386,6.321368656,0
Otu108613,0,4.096834253,4.975202425,5.784697085,5.800169362,6.203569669,6.573589014,6.020247546,0
Otu108634,5.071856184,3.976770101,4.079699308,5.342940743,6.078121739,6.703015741,6.345829125,6.294434544,0
Otu108679,5.071856184,3.884744789,4.704807398,0,6.092578836,6.516044176,6.252739493,0,6.369850917
Otu1087,6.935179026,5.146288705,5.89994666,6.992814751,7.404239208,7.67432902,7.855775038,7.703134663,7.567716197
Otu108716,6.026098683,4.241457978,5.179459056,6.123630814,6.314426216,6.685883574,6.865138592,6.696249614,6.355792776
Otu1088,6.372886157,4.689521243,5.713184473,6.509303401,6.903125245,7.424860253,7.372098593,7.237848504,7.313826901
Otu108815,6.247947425,4.660131959,5.251800128,6.528659285,6.325483983,7.157025799,7.323928814,7.124114534,6.846322678
Otu1089,6.302305089,4.552211628,5.439329057,6.212858122,6.56411909,6.981369601,7.032399079,6.999170872,6.658803691
Otu108982,5.071856184,3.369592938,4.079699308,5.507585024,6.181925711,5.920867055,6.253329969,6.308157328,6.352961779
Otu109,7.049579772,5.354308006,6.205439432,7.18826667,7.578084114,8.049646672,8.106377292,7.848241533,7.852453243
Otu109024,5.372886179,0,0,5.411477774,5.945759052,0,6.006089386,6.022012108,0
Otu10903,0,0,4.188038783,5.026670781,0,0,0,0,0
Otu10909,0,0,0,5.026670781,0,0,0,0,0
Otu1091,5.974946171,4.333698884,5.341003003,6.210635966,6.407063684,7.144227585,7.178668137,7.17340806,7.257947982
Otu109101,5.673916175,3.421510737,4.438268625,5.342940743,5.735247663,6.518748651,6.006089386,5.973980278,6.369850917
Otu10920,0,3.687656273,0,5.435255004,0,6.178573646,6.338100193,6.020429755,0
Otu109282,5.372886179,3.708218945,4.617911608,5.458354754,5.731335434,6.399302363,6.513481566,6.022012108,0
Otu109286,5.548977438,3.568250025,4.56798556,5.507645826,0,0,5.894308026,0,0
Otu1093,6.68464002,4.876190337,5.816863194,6.66663384,7.028457263,7.422782913,7.621647707,7.481725844,7.203410144
Otu1095,6.414278844,4.801863818,5.656927028,6.423304744,6.875687686,7.429422906,7.441014132,7.176367842,7.353608962
Otu10951,5.071856184,0,4.491003278,0,5.490518845,6.241798405,6.018974221,0,0
Otu109541,0,3.568250025,4.218002006,5.569192716,0,0,6.006089386,6.294434544,0
Otu109574,6.850007417,5.152491232,5.953352155,7.04049211,7.334166338,7.731940238,7.859291526,7.67651663,7.536569191
Otu1096,6.61592421,4.918365624,5.790038636,6.708148303,7.028361132,7.483754571,7.543762924,7.372693093,7.534426235
Otu109606,5.850007434,4.408152622,5.000425445,5.661409713,6.135027771,6.852418313,6.598810096,6.84393482,6.652649697
Otu109666,5.673916175,4.236287595,5.22258199,5.943368026,6.191279385,6.617292559,6.018974221,6.913370544,6.662518438
Otu1097,6.372886161,4.662463713,5.592897317,6.736038142,6.972972341,7.466171444,7.498494503,7.326913129,7.203413691
Otu10971,6.151037415,4.475624485,5.065176965,6.062738098,6.531959621,6.860729467,6.957082185,5.993404548,6.670880913
Otu109762,6.026098683,4.400273194,4.983729647,5.918227044,6.2814676,6.515082676,6.702002689,0,6.369850917
Otu1098,6.185799515,4.401473589,5.15673751,6.085090481,6.564087438,6.755757375,6.798625104,6.612147252,0
Otu109804,6.46979617,4.749591135,5.567700173,6.291008415,6.675300983,7.27790382,7.332874888,6.958596782,0
Otu109827,0,0,0,0,0,0,6.624800246,6.020247546,0
Otu109830,5.548977438,3.943632367,4.646344729,5.424610789,5.95883353,6.388554641,0,6.020247546,6.355792776
Otu109864,5.071856184,3.835039074,0,5.096958314,5.514403598,0,0,6.020429755,6.355792776
Otu109889,5.548977438,3.946458315,4.996333853,5.758023048,6.508997959,6.809634331,6.490982959,6.022012108,6.656810287
Otu1099,5.548977438,3.884744789,4.504308745,5.582701082,6.155647176,6.398566825,6.002402206,6.284830996,0
Otu11,8.193087622,6.397361128,7.244009402,8.226090511,8.61301137,9.021535212,9.117435496,8.908978086,8.700481634
