,Control,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
Otu35674,6.247947425,4.450693215,4.955763541,6.137282572,6.554141638,6.950888379,7.370800181,6.852037221,6.347406139
Otu3568,5.372886179,3.940296713,4.760557841,0,5.930928245,6.381178498,6.513481566,6.299689875,0
Otu3569,5.673916175,4.266732624,5.088578547,5.907553374,6.307841487,6.759646852,6.998472697,6.478830025,6.355792776
Otu357,6.974946155,5.210149054,6.027101492,6.909859409,7.350957753,7.724332233,7.76290991,7.544797651,7.612305685
Otu3570,5.77082617,4.184433193,5.038524248,5.861657881,6.223618861,6.612212858,7.141685203,6.612100609,6.369850917
Otu3571,5.673916175,3.997989069,4.642982582,5.538167012,5.837467749,6.188605478,6.503603899,5.993404548,6.367899516
Otu3572,5.548977438,3.909804937,4.188038783,6.052594272,6.035800219,6.387497344,6.31179725,6.615517325,0
Otu35723,5.372886179,3.258619857,4.079699308,5.294092175,0,5.883404663,6.320004217,0,0
Otu3573,6.026098683,4.268632346,5.256853712,6.194631827,6.314085121,6.999850676,6.981083418,6.961223509,0
Otu3574,5.071856184,3.536144311,4.330334539,5.564722407,5.939744675,6.239908653,6.253329969,6.284132313,0
Otu35741,5.071856184,3.713392147,0,5.210315178,5.989052659,5.902981813,6.018974221,0,0
Otu3575,5.548977438,3.595122171,4.631663285,5.342940743,6.362221581,6.513148564,6.800728637,6.498545972,6.352961779
Otu3576,5.850007434,3.798133138,4.188038783,5.848022049,6.302987687,6.62885585,6.914193408,6.592881206,6.363996021
Otu3577,5.770826188,4.236269323,4.64269152,5.730995502,5.74879686,5.871602456,6.487548199,5.973980278,0
Otu3578,5.673916175,4.048560432,4.8509841,5.856271898,6.167562405,6.753146679,0,6.020429755,0
Otu35781,6.762052247,5.082303528,5.777251819,6.877472978,7.19256277,7.48669048,7.640027224,7.535050981,7.635603775
Otu35784,5.673916175,3.687656273,4.359795397,5.20276204,5.400342215,6.203569669,6.018974221,6.321368656,0
Otu358,6.969483259,5.035086937,6.024085202,7.011441537,7.29250356,7.707040795,7.944177139,7.67631487,7.534953417
Otu3581,0,3.699018305,0,0,0,0,0,5.993404548,0
Otu35821,5.974946148,4.159796737,5.214541381,6.088431502,6.676897819,6.856166056,7.14144606,6.774217881,6.668929511
Otu35839,6.59037011,5.051225884,5.626446799,6.686896761,7.058722155,7.481008835,7.642770743,7.414275375,7.054830453
Otu3584,0,3.166849484,0,5.20276204,0,0,0,5.99203669,0
Otu3587,5.673916175,3.720212945,4.188038783,5.507645826,5.408682831,5.920867055,6.627057493,5.99203669,6.369850917
Otu35871,0,3.595122171,4.036771108,5.492875621,5.731335434,6.241798405,6.002402206,5.973980278,0
Otu35879,5.372886179,3.595122171,4.021707361,5.727920551,0,0,6.345829125,0,0
Otu3588,0,3.166849484,4.322737357,5.096958314,0,6.612779306,6.481105388,6.284830996,0
Otu3589,5.770826188,0,4.330334539,5.784697085,6.089333096,5.902981813,6.262129094,6.022012108,6.352961779
Otu359,7.021246173,5.205028838,5.940689441,6.83871738,7.385780725,7.722477351,7.826596388,7.70518145,7.31969939
Otu3590,6.151037407,4.484072019,5.160635559,5.96437225,6.36433096,6.860729467,6.683012337,6.30749521,0
Otu35909,5.548977438,4.408594106,4.811279186,6.03013486,6.488797189,6.754731251,7.016422469,6.849911405,0
Otu3591,5.372886179,3.86928002,4.35270058,5.771904114,6.071728697,6.382179667,6.758557707,6.30749521,6.665026017
Otu35911,5.673916175,4.251808042,4.631364534,6.094468702,6.252534362,6.697040955,6.983408342,6.777160477,6.355792776
Otu3592,5.548977438,3.720212945,4.5833832,5.861657881,6.2438449,6.213046492,6.685537372,5.993404548,6.369850917
Otu3593,5.372886179,0,4.504308745,5.424610789,5.803655394,6.421841519,6.002402206,6.020247546,0
Otu3594,5.071856184,3.787328146,4.079699308,5.435255004,5.930928245,5.883404663,6.069174194,0,0
Otu3597,6.151037415,3.996089593,4.956743008,6.135971381,6.374827646,6.510381078,6.743364719,5.99203669,6.347406139
Otu3598,0,3.86928002,4.160010059,0,0,0,0,0,0
Otu3599,5.850007419,3.939567553,4.732911822,5.454104251,5.490518845,6.387497344,6.616716812,6.30831296,0
Otu36,5.071856184,0,0,0,0,0,0,6.020247546,0
Otu360,6.695105459,5.039594464,5.955841767,6.940485807,7.097887368,7.803205928,7.767258095,7.722580391,7.468476698
Otu3600,5.673916175,3.964483569,4.848779646,4.99306218,5.752555579,5.924797348,6.48667974,6.022012108,6.670880913
Otu36001,0,3.643970739,4.188038783,5.650125947,5.991312417,6.178573646,6.254815189,5.99203669,6.355792776
Otu3601,5.548977438,3.258619857,4.431881826,5.294092175,5.803655394,6.704171456,6.305802937,6.489267077,6.363996021
Otu36010,6.684640025,4.869602033,5.550087457,6.727174797,6.961467844,7.446811884,7.524359363,7.482145835,7.055952549
Otu36011,5.372886179,4.18347468,4.503908141,5.096958314,5.800169362,6.356627377,6.018974221,0,0
Otu3602,5.974946159,4.000048301,4.899081934,6.145197986,6.180470096,6.61375319,6.905258781,6.602459183,6.659543938
Otu3603,5.372886179,3.968280766,4.866805401,5.583118938,6.110452939,6.399597546,6.818134654,6.900366546,0
Otu3604,5.850007434,3.889353621,4.330334539,5.424610789,6.049930281,6.213046492,5.894308026,6.30831296,6.347406139
Otu36041,6.452067406,4.725644041,5.54491444,6.44820889,6.906569032,7.220963606,7.388443301,7.089152577,6.662518438
Otu3605,5.770826188,4.221173733,5.001149884,5.698952617,6.51910094,6.607042472,7.026436402,0,6.65540958
Otu3606,5.372886179,4.259910629,4.940037315,6.156212817,6.192957618,6.524134532,6.950987484,6.488728154,6.838400041
Otu36067,6.113248852,4.114320832,4.938411912,6.14562744,6.293552498,6.868160576,6.994928427,6.962512591,6.652649697
Otu3607,5.77082617,3.843161747,4.698362553,5.327700776,6.352479524,6.51509295,6.018974221,0,0
Otu3608,5.916954211,3.793733059,4.504308745,5.430771098,6.520026697,6.512365542,6.56315909,6.489805332,6.363996021
Otu3609,0,3.397988309,0,0,0,0,0,0,0
Otu361,6.929188664,5.040330437,6.027204508,6.857032366,7.342303089,7.689211829,7.939716603,7.584672094,7.535544684
Otu36129,5.974946159,4.230681762,4.851164297,5.90888123,5.731335434,6.383542359,6.698884125,5.993404548,6.827340973
Otu3613,0,4.049266323,4.489068779,5.507645826,5.705562541,0,0,0,0
Otu3614,5.673916152,0,4.35270058,0,5.956729963,5.883404663,6.262129094,6.307401139,0
Otu3615,5.548977438,4.303932529,4.827345269,5.569192716,6.16084361,6.223866643,6.446772183,5.993404548,0
Otu3616,5.673916175,3.889136801,4.846673179,5.041910747,6.083104153,0,6.345829125,6.308157328,6.367899516
Otu3617,6.695105457,4.850007506,5.476757059,6.473325809,6.884563081,7.380160868,7.03837745,7.492076896,7.263213777
Otu3618,5.548977438,3.421510737,4.5833832,5.511345173,5.826590396,6.205623958,6.496095476,0,0
Otu36186,0,3.166849484,4.610198769,0,5.815433593,6.216972993,6.338100193,0,0
Otu36196,5.548977438,4.000061242,4.998812667,5.542131751,6.456578521,6.824213453,6.701792631,6.594781149,0
Otu362,6.662920774,5.034604811,5.842516651,6.7759729,7.183991446,7.661348167,7.631437792,7.456045506,7.477619082
Otu3620,6.628158669,4.731990626,5.41482029,6.48357928,7.062657125,7.304686564,7.426866108,7.381755311,6.839713287
Otu36201,6.684640025,5.028479518,5.769148547,6.816612076,7.211163543,7.531852468,7.575799021,7.511872988,7.36360803
Otu3621,5.548977438,3.741493441,4.808982243,5.335387605,5.975004206,6.603207356,6.816553143,6.48866618,6.352961779
Otu36219,6.433584,4.629205121,5.469916619,6.397804998,6.749342078,7.20663634,7.325647094,7.217183757,7.141462252
Otu3622,5.548977438,3.397988309,4.862649441,5.705815409,5.800169362,6.215056542,6.48580954,6.022012108,6.369850917
Otu3623,5.548977438,3.808675822,4.817694418,6.005060814,6.19264007,6.61593595,6.305802937,6.020429755,0
Otu3624,5.548977438,4.150932126,5.028715401,6.039910829,6.306008926,6.67883004,7.007883882,6.708815161,0
Otu3625,0,3.496835629,4.820168429,6.013531669,6.064813969,6.412630967,6.37020419,5.99203669,0
Otu3626,5.548977438,3.800079458,4.832199675,5.786119856,5.774729367,6.423085447,6.599076348,6.284830996,6.347406139
Otu3627,5.071856184,0,0,0,5.778271101,5.924797348,0,6.48920518,0
Otu363,7.058627901,5.325585911,6.161572563,7.055943662,7.449597981,7.804035296,7.933490176,7.685884818,7.723922857
